month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r07_hyperband_019621,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2023-04,52.07489209603182,505.82714493085615,0.0,0.0,1101.8499370880152,-1915.4304715749945,7528.66081054434,3607.5167963014983,10880.499109385746
2023-05,-942.5822327075609,-7437.831089810363,0.0,-5511.165403414757,0.0,121.71006657162798,4309.537724696622,-4307.280985212901,-13767.61191987733
2023-06,3818.5750074434436,-2066.158933040233,0.0,0.0,-715.821639361246,0.0,2919.508657583191,1267.1500969014687,5223.253189526624
2023-07,1676.1642273539048,-4210.721311413355,0.0,0.0,0.0,-4885.013070854413,7718.3231136101585,518.783384207065,817.5363429033605
2023-08,7493.83652107995,5496.97952899188,0.0,-2119.6709733700022,-574.5820514478305,11422.844518487753,0.0,2880.2736482048795,24599.681191946627
2023-09,-2840.7248452681383,-1405.0105434021284,0.0,7393.783646137601,0.0,-8454.351069473212,-5362.450013289166,5858.211010817751,-4810.541814477292
2023-10,-2593.3104472188206,5363.9771864773065,0.0,0.0,7736.84837320085,0.0,-1517.1968810461897,7285.087202836831,16275.405434249977
2023-11,-881.8074533641201,-3488.3089810448696,0.0,0.0,0.0,2199.156392874993,0.0,-4076.4418353360243,-6247.401876870021
2023-12,1799.6162112000052,-7.002038787501306,0.0,0.0,6096.53420384999,0.0,-8816.58159585001,-2155.4230767499994,-3082.8562963375152
2024-01,3273.369167545167,681.0436426670381,0.0,6067.946962564337,0.0,0.0,-3418.5357881275563,-965.2505634500012,5638.573421198984
2024-02,-501.85161243462494,891.8974232655083,5965.135578438787,0.0,-2981.1963014999915,8622.644994456812,9364.041624599984,4221.246186524416,25581.917893350892
2024-03,-6619.395179966989,2010.1298712486016,-4830.508975040193,-7973.151317535387,3760.5091306500008,8890.331537999988,-3374.3918416000124,-2789.586168749999,-10926.06294299399
2024-04,7464.0454607736265,-1995.8581362533873,0.0,14780.03998308863,-1179.837355299999,-3399.021755799998,7741.573003400067,-2460.067450522873,20950.873749386064
2024-05,-3228.0642339793535,-1547.4471891018318,0.0,0.0,-1047.6008831511297,-1916.2881517827632,-6403.444932016828,12097.989686300005,-2044.8557037319006
2024-06,11076.580138888694,-13721.122668561718,0.0,-5601.063045315741,2700.7452772851543,-9670.608189107938,-4137.511699096925,9648.01922710814,-9704.960958800337
2024-07,-905.0297001119698,905.6114780071447,13611.067343854773,0.0,0.0,2504.5565431499954,-3769.278506099985,0.0,12346.927158799957
2024-08,-2658.085465184233,-5906.786856305286,0.0,0.0,-3565.3366501572705,-12286.269498500067,-4326.950955250065,0.0,-28743.42942539692
2024-09,-1335.441499979997,-5394.893403762391,9315.120751677145,0.0,1826.475071357243,5177.357172490144,-2499.9183154450584,6781.350381412175,13870.050157749261
2024-10,-1268.3760231479152,6306.55508199413,0.0,0.0,1132.6749278746397,11042.737354850022,0.0,-1267.475882008206,15946.115459562672
2024-11,-9568.997244722825,8669.317673827454,0.0,0.0,327.6175067228876,0.0,-8423.256230892748,0.0,-8995.318295065232
2024-12,17719.80591803035,-2917.1083670947046,-3962.584227199977,-3881.657026800018,2208.7943226,1442.7905858007066,-3997.021840000023,5976.076356063776,12589.09572140011
2025-01,3603.46937475652,13268.270882760295,-3990.21767730001,0.0,-2471.7387787119737,7009.132131100002,-8959.09902045003,0.0,8459.816912154805
2025-02,22636.027271185445,12329.461184377928,0.0,40746.52534179613,0.0,0.0,6250.73659028548,0.0,81962.75038764499
2025-03,11598.974280229431,22952.278761281836,37181.67985543683,-7329.487402200037,-10265.508185400015,0.0,15030.108676800106,26808.4516288517,95976.49761499985
2025-04,-1723.6557545523885,22020.344102946725,0.0,0.0,15267.559930605643,0.0,-7313.787505299991,-14680.978162400006,13569.48261129998
2025-05,28062.717071508454,38044.03031270251,0.0,-22336.727050992497,-302.26618383759705,46939.55192862966,10083.139253891337,-13465.873475795137,87024.57185610673
2025-06,16175.324248313174,967.7715882635193,-14022.979794100173,0.0,4362.93313500002,8758.574708543654,24352.850902928094,18912.49794654408,59506.97273549237
2025-07,-52274.17684876771,51932.97059189736,819.7896977295532,57608.19041662787,31651.441279034,-5536.319622966623,-16367.627345505854,-14601.198860857112,53233.06930719149
2025-08,-32841.26728553028,-8363.71215933423,0.0,0.0,-26924.302074161857,-11846.104923034709,0.0,68285.90327558877,-11689.483166472302
2025-09,-43060.19493411071,49754.526618056996,0.0,-37645.428038940314,-15135.748843270778,68706.57289146437,19982.759850149985,-2339.501087368545,40262.986455981
2025-10,-24858.64310425387,37953.199038050116,0.0,-44908.14034153105,38167.90791443539,0.0,-68411.79494304984,0.0,-62057.47143634925
2025-11,-11400.470573270413,-29772.7013084535,0.0,63595.56669089497,-2659.173217499963,23055.00043786324,22773.40037210612,43725.396070958006,109317.01847259846
2025-12,-3142.8830398782166,-47988.353813678754,0.0,-19036.03888269993,-17168.83625477531,-18782.874861650125,-19546.82708861718,-53412.517129665925,-179078.33107096545
2026-01,34963.45089038504,55307.552219323785,0.0,0.0,-2935.8615580368505,83030.58813027876,13448.133593086113,-26599.467537269404,157214.39573776745
2026-02,76043.42794093257,-19109.458507182695,0.0,-18480.486594899987,0.0,0.0,-37200.312754600025,0.0,1253.1700842498612
2026-03,33732.06792107533,-27216.816343787505,0.0,0.0,-18168.922697450034,-34846.06315359991,4844.504452387489,1617.2507296766998,-40037.97909169793
2026-04,-30578.643175011708,-89104.64685175342,0.0,0.0,-20516.29515257781,-64611.969501087704,-20825.48815005083,-12742.80316356255,-238379.84599404404
2026-05,4247.404189890633,-3985.1396030099218,0.0,-9556.833339600074,0.0,-31630.428907490423,27754.553435850095,-28980.184685246575,-42150.62890960627
2026-06,15739.6477633232,23086.617191324625,0.0,0.0,-1059.843947999983,16387.103493237802,14040.948420514414,0.0,68194.47292040006
NaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
