month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r11_island_2024_021423,total
2023-10,-1058.3384244139743,1327.7904057543071,0.0,0.0,660.2298514071348,0.0,-235.1926757809729,694.4891569664948
2023-11,-171.99620349077458,-747.3820298692262,0.0,172.80760132000103,-293.526393765,-295.27323120000005,0.0,-1335.370257005
2023-12,540.2514964000072,-603.6681351778075,0.0,1074.3232052999988,0.0,-15.48100135611702,-860.3774002499988,135.04816491608267
2024-01,1141.3111566181208,132.98790336876192,0.0,0.0,0.0,0.0,-422.7399311080972,851.5591288787855
2024-02,-413.9657846062234,1.6396695170620035,551.2463123796585,0.0,909.3544447038039,261.25406217688,921.108541499997,2230.637245671178
2024-03,-1665.1098033990534,409.48865089221135,-405.5716003527836,0.0,745.4899041000009,-315.5926760000008,-282.9614017999911,-1514.2569265596167
2024-04,3373.6257788943335,-518.7771842873824,0.0,0.0,-297.5992321499983,-305.0918379000024,681.8370892000008,2933.9946137569514
2024-05,-599.952617500188,275.7079286621604,0.0,1271.5103424000004,-129.61662490927773,43.426628826575495,-560.8822571055564,300.1934003737142
2024-06,2324.628244515424,-3718.3461382719665,0.0,-554.0227926934795,-956.4797055078562,0.0,-365.0955228421392,-3269.3159148000177
2024-07,-388.20952858029887,-1119.0414968080647,1064.6363851212386,2294.066037910129,870.859801716173,414.6999153030825,-304.34072039999865,2832.670394262261
2024-08,-1745.2686902272246,-1745.1509896184843,0.0,1706.9437528551657,-1292.9307751713063,1545.3870107240705,-342.9403631500056,-1873.9600545877845
2024-09,-1019.1891977939705,-1380.8305405364854,1080.065442226072,1309.9629587441534,536.1383007515295,-890.2117042709007,-201.7337253452365,-565.798466224838
2024-10,-303.43622873834124,2006.032537185869,0.0,273.6876545480569,944.2306300000057,1353.7162858415718,0.0,4274.230878837163
2024-11,-2444.31594875483,2294.8566844830475,0.0,0.0,0.0,0.0,-699.8481149149591,-849.3073791867416
2024-12,5462.910593742757,-1029.5141097536084,-857.4993574085368,-340.9290969000008,127.90403772848776,-238.81092085907025,-352.1286400000038,2771.9325065500248
2025-01,663.2261055780632,3494.115142521955,-376.8433171499993,-365.7639549999971,608.041447749999,0.0,-777.2441979000014,3245.531225800019
2025-02,5506.2894398591125,2852.6648433369455,0.0,2391.936472330747,0.0,-372.918204251236,456.0095950244453,10833.982146300013
2025-03,961.7653954574823,3135.590696053873,2696.970494471856,2009.331900216771,0.0,-512.8750867499989,1079.0463694499929,9369.829768899977
2025-04,-314.2031430607306,3156.5330038107168,0.0,-1215.9393243499974,0.0,4034.540477950001,-533.3705163499999,5127.56049799999
2025-05,5927.557393927711,6929.7282495887575,0.0,0.0,3058.6806431189134,0.0,357.7836843384101,16273.749970973793
2025-06,1039.7633315269677,-802.4386091053739,-887.9704041000117,0.0,505.841085887316,-874.4077660499983,1260.919012617265,241.7066507761649
2025-07,-9183.988316084851,8884.771799430866,-882.6301822499997,-1844.0672565185598,-331.5058817110289,4410.929393180048,-898.5036997773188,155.00585626915495
2025-08,-3685.1730087055344,305.7723290403242,0.0,-842.9118382432089,-570.7315342263646,0.0,0.0,-4793.044052134784
2025-09,-7281.156302834745,7119.990640957596,0.0,-185.34433357287116,3573.294534778448,-1730.0971905082245,356.54076339558424,1853.228112215788
2025-10,-3407.235456435247,3591.6369505352022,0.0,0.0,0.0,0.0,-3320.2176495499875,-3135.8161554500325
2025-11,-1755.9826677313345,-4645.8763069864135,0.0,-310.9706839736096,1039.041262907489,-807.5506958867837,903.3429575705622,-5577.996134100091
2025-12,-991.5330811290269,-5961.646384489798,0.0,-2572.4349272702593,-611.3317575240949,-758.1723572500016,-1520.1232872651328,-12415.241794928314
2026-01,3385.4467164133093,8049.136415517492,0.0,2341.1709526188424,6962.5588107931135,-1029.7048474119724,511.6416609977264,20220.249708928513
2026-02,8811.328207388297,-1607.550857399388,0.0,1007.4780363999988,0.0,424.27715946109953,-1629.4412110999963,7006.09133475001
2026-03,4868.488283325294,-3643.205771169447,0.0,0.0,-1718.3214225999877,-473.1856335673687,319.0917390245321,-647.1328049869772
2026-04,-2320.489059517571,-12770.94951960879,0.0,-3987.3273628312436,-2518.178192839763,0.0,-1055.807610272966,-22652.751745070334
2026-05,-159.0967514284876,-2230.692937322124,0.0,-3308.348545163767,-2038.577390309127,-980.5970013561837,1794.2533053999996,-6923.059320179689
2026-06,3187.2671362995193,4736.4649843106845,0.0,-1279.657839263247,1128.2067324681525,-539.2832104547665,879.3683167395445,8112.366120099887
NaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
