month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r05_island_2023_001587,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2024-05,-5624.631022878188,-2884.0172732077126,0.0,0.0,0.0,-1855.135601955668,25457.21901120005,-3393.408489169714,-6896.269943623895,0.0,-11339.406652524625,20381.341986650034,13845.69201449028
2024-06,20599.216576319453,-24171.841069399223,0.0,0.0,-10670.062316437215,5144.930545298131,-11468.83461473542,-18422.60692983232,0.0,0.0,-7881.977586363828,18320.41241755026,-28550.762977600163
2024-07,-1535.2868158520832,5469.966991970167,0.0,24763.95832886577,0.0,0.0,42787.7164166072,5377.677012899951,9325.393765008956,-4861.115858900004,-6857.873179500018,0.0,74470.43666109993
2024-08,-10630.73445427397,-11696.128438733569,0.0,0.0,0.0,-7711.005896131283,12966.848400853261,-26983.971531899886,0.0,26679.57118436542,-9229.670750300003,0.0,-26605.091486120033
2024-09,-5652.9200219394115,-13247.328342381956,0.0,23911.720977527973,0.0,0.0,32581.57841762153,13290.107449787056,-24147.012942180183,0.0,0.0,11234.49405246709,37970.6395909021
2024-10,-2796.365973571044,15992.99307332955,0.0,0.0,0.0,1899.5649304402336,-8372.375740950049,28582.721531350027,48360.796790070206,0.0,0.0,-3280.725190302287,80386.60942036664
2024-11,-28510.61355812318,22953.567383707148,0.0,0.0,0.0,943.7628227272676,0.0,0.0,0.0,0.0,-24264.15542711019,0.0,-28877.438778798954
2024-12,55177.020310391694,-6973.848614096648,0.0,-11319.257981200002,-11088.197363600064,6309.590531399982,-10132.711173500054,4121.253001898525,-8945.476877821566,27120.047250446263,-11417.620412000038,17070.97569028141,49921.774362199496
2025-01,10160.476444695294,39250.35378946516,0.0,-11803.362938999971,0.0,-7311.265811170228,-11432.875376249882,20733.58172325001,0.0,0.0,-26501.749346999914,0.0,13095.158483990472
2025-02,67306.82423884899,24434.682699889156,0.0,0.0,119885.5734588822,0.0,77347.78881464002,0.0,-12783.12406972029,0.0,17959.15907216967,0.0,294150.90421470976
2025-03,19098.77891196343,77455.8112377214,0.0,123580.7296274452,-22960.13592850011,-21801.25591799999,-20924.45926042095,0.0,-22031.50470689993,-16328.755395849994,45561.73399469949,87078.96521614054,248729.90777829912
2025-04,-2828.8722915786675,53377.50617708238,0.0,0.0,0.0,46697.788727246465,-53535.51779619999,0.0,0.0,-21539.357061399995,-22910.93829255003,-43581.41678884998,-44320.807326249815
2025-05,78718.93902510717,104084.8729529561,0.0,0.0,-61834.3733718284,-822.5959039476645,0.0,92360.18340249677,0.0,0.0,55309.1413799454,-37266.26114186273,230549.90634286666
2025-06,7950.679850805604,4965.036159297259,73890.38653509994,-37487.426222400376,0.0,11663.372864000006,0.0,23414.288871213303,0.0,-19396.455642977635,65102.175708194125,48086.72721134967,178188.7853345819
2025-07,-144550.14698581878,162708.4639082577,0.0,0.0,200963.77532963463,0.0,-43177.69962099024,23474.049262650457,0.0,0.0,0.0,-40036.525654655365,159381.91623907842
2025-08,-34452.947375603566,7893.487481827795,0.0,0.0,0.0,-88699.71468349636,-42462.192157770776,-32219.53935650795,0.0,-35286.020896350004,0.0,182195.73402620142,-43031.192961699446
2025-09,-98621.21456920664,154961.94784265803,0.0,0.0,-96737.12833877333,-28687.311421884384,65629.94905551118,204918.68064267962,-103100.54154527336,123776.3445665294,48916.61961809964,-6425.855941112079,264631.4899092281
2025-10,-44374.59646222726,13694.313147761235,0.0,0.0,-53986.73397119943,115545.26357636497,0.0,0.0,0.0,0.0,-202357.66444859852,0.0,-171479.418157899
2025-11,-46733.06361134907,-56268.9992118009,0.0,0.0,193991.83155334104,-8111.538933099906,0.0,70326.97785534507,13153.373111986097,-36173.34282180002,69462.56206768088,133379.91305279554,333027.7130630987
2025-12,30702.219736861764,-125228.65875089921,0.0,0.0,-58053.98135320055,-8537.398829049673,-156797.42040949984,0.0,-60498.29462599982,0.0,-6149.896571586782,-127515.99856946072,-512079.4293728348
2026-01,17551.879790093997,57071.77185521127,-95861.14415930069,0.0,0.0,0.0,15811.505000244273,135175.4748382868,-42727.31111519984,0.0,-43592.662308150175,-65466.73741815001,-22037.22351696436
2026-02,155688.41885842118,-32768.39264117126,-30921.08494175001,0.0,-41747.87180549996,0.0,0.0,0.0,0.0,-31342.31125739999,-84129.71720370033,0.0,-65220.95899110038
2026-03,46339.57374969534,-50450.42709750298,0.0,0.0,0.0,-38957.11745884993,0.0,-74715.57409739954,0.0,0.0,49358.79870510072,3467.6573679621397,-64957.08883099425
2026-04,-34826.96124505644,-146443.19154093342,0.0,0.0,0.0,0.0,-108305.00665902406,-45025.26104867057,0.0,-15409.549384402162,0.0,-28552.595852133694,-378562.56573022035
2026-05,8222.56268110163,21194.34963097702,0.0,0.0,-23611.153084400044,0.0,-88751.82668944015,55073.84860275281,0.0,-92675.1147608195,73770.82757689865,-59453.04221070014,-106229.54825362973
2026-06,52866.74127672962,46821.32810310082,0.0,0.0,0.0,0.0,-23543.16817012389,0.0,-22274.677494084823,65469.46423391933,44059.828611259465,0.0,163399.51656080052
NaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
