month,freq_4pw_r01_catcma_010978,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r04_catcma_013241,freq_4pw_r05_island_2023_001587,freq_4pw_r06_hyperband_015967,freq_4pw_r07_smac_003335,freq_4pw_r08_catcma_008884,freq_4pw_r09_hyperband_010009,freq_4pw_r10_hyperband_019141,freq_4pw_r11_island_2024_002436,freq_4pw_r12_island_2022_020583,sparse_0pw_r01_smac_018790,sparse_0pw_r02_hyperband_028062,sparse_0pw_r03_island_2022_002323,sparse_0pw_r04_hyperband_020661,sparse_0pw_r05_hyperband_026425,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r08_dssv2_027026,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2025-01,3634.551563456193,50997.952960783696,71849.44823082187,0.0,0.0,-76868.30087068127,-34541.129183176155,-49398.152847952595,-22585.114255049928,0.0,0.0,-102984.96067200479,-40649.39976891664,-2619.9067809188655,-11045.258306400026,-28654.89520659513,39249.93120562374,-21493.057519999857,38977.75066954984,-19621.081917600157,0.0,0.0,-43671.97525667322,0.0,-249423.5979557333
2025-02,0.0,86436.50974918125,63676.203339789965,0.0,0.0,12843.168949781664,-19728.03115334551,-17495.765392000107,0.0,-2309.9332878617424,142272.78412421423,0.0,0.0,27804.96011683517,23150.05877460003,0.0,0.0,122461.90739528298,0.0,-14024.377575700106,0.0,0.0,25372.65228961345,0.0,450460.1373303913
2025-03,0.0,29293.98001254273,89810.96489902402,37847.07730799991,0.0,-57210.59864494325,-28831.621655669733,-30228.806917800463,172155.6378245117,2681.867910450186,-23978.534250200304,0.0,-21495.47461221923,-35592.362461650984,-26482.841752949826,0.0,17018.37768142244,-28300.472204990197,0.0,-25547.401693199983,0.0,-22084.78970335004,61622.54920710038,31313.88279382279,141991.43373990015
2025-04,0.0,-47815.3900865673,12660.366839362236,0.0,0.0,5862.0845585930965,40955.59227183029,140874.80292069959,0.0,0.0,0.0,0.0,0.0,-36161.80272002185,48177.94964321944,-77199.59114635087,0.0,-61332.03480730003,-34423.152523950084,-77882.4352491652,115113.15098080024,-24676.177167099995,-30987.207915050047,-49928.279093400066,-76762.12349440056
2025-05,-5194.723415100009,88789.81845241401,85477.6868342939,0.0,0.0,15106.673135953442,-21212.65725893777,-66290.14121299717,0.0,-5288.271291952543,-52313.59924921247,0.0,18069.757220805586,95534.24081204741,0.0,-56715.92106616247,-30776.83602449986,0.0,44612.13236299372,83174.87456797052,0.0,0.0,34255.87273873658,0.0,227228.90660635283
2025-06,28934.61450714928,-19585.3444348671,-6000.784174508299,-36303.78350970012,76569.45812336654,-69612.18686654832,32687.22843214635,0.0,0.0,0.0,0.0,-18667.074333326305,12459.59523600003,-59999.60306029224,-14131.751308599954,-45448.24049325095,0.0,0.0,0.0,-102028.53850570046,0.0,-17277.26326450336,109211.95559313243,0.0,-129191.7180595025
2025-07,0.0,-88521.1522844658,65919.82663504938,0.0,0.0,-88517.42330962025,7314.844693407465,164474.94300224047,0.0,0.0,0.0,0.0,0.0,22670.639877988404,-67689.3655505102,52635.81178799947,0.0,-36729.1776702224,-67839.59097509108,-30883.803648599845,0.0,0.0,0.0,0.0,-67164.4474418244
2025-08,0.0,-17482.880196583345,26079.55412256981,0.0,0.0,-36504.60597630208,12742.909262452573,0.0,0.0,0.0,0.0,0.0,-22245.09446051756,-143682.54381541372,7971.646523415569,104786.74200208212,-83598.325029394,11103.205475667492,-23080.510105684603,-89063.03498527297,0.0,0.0,0.0,43453.226997389276,-209519.71018559145
2025-09,0.0,-37691.39906042818,63021.548893093284,0.0,0.0,39292.54293116084,60480.634442416645,-59147.450726615876,0.0,0.0,-39726.97077573303,-26251.96730294954,-18493.921279193688,-30316.591219834198,-26907.68820480001,37582.78241085062,0.0,26059.472998469802,118584.5393500427,-23234.68870059967,-61974.79921439951,0.0,65139.785525995794,-3337.512466558825,83078.31760091717
2025-10,0.0,19034.327920647946,19794.154965594214,0.0,0.0,-16662.712752130574,-15804.160923070871,-27238.00307499979,0.0,-5503.732780450158,-49946.6902524345,0.0,60506.010160471036,-53712.19206421682,-25778.149728323107,38559.51416129978,0.0,78629.72899558903,0.0,-95989.91207972835,0.0,0.0,-82638.6079294995,0.0,-156750.42538125167
2025-11,2205.24151469998,-15905.308144563676,-1456.0561391225856,0.0,0.0,-53839.65969987551,-8450.803332487341,-49142.7610729991,0.0,11233.542918149791,72903.34098780926,0.0,0.0,32518.555218920446,-11322.180281856174,-25890.22989049977,-22521.721582000173,0.0,0.0,50243.32899997334,0.0,-18041.45600145001,60014.8889296853,0.0,22548.722424383777
2025-12,0.0,-17348.42211852724,-58639.129553625266,0.0,0.0,-76462.53634099336,-15839.099540270763,-49181.413424301114,0.0,0.0,-19119.90027710023,0.0,-2808.652500062297,-22815.50533010464,27283.745489368805,0.0,-96698.21149383897,-22385.61227879994,-21636.543354399397,27477.48242264923,-21627.70799671661,0.0,-2425.799820972643,-74186.442788274,-446413.7489059685
2026-01,-2491.3154872268087,26942.898860501995,68252.95147012609,-6560.810600599632,-55897.88422799392,-6919.7973945439835,23127.349463995895,0.0,0.0,0.0,0.0,0.0,0.0,-1455.523646562251,-29660.869182433904,-12401.605549199605,10672.678904200264,7022.961528579486,54985.64763803329,-44078.22075146301,0.0,61466.260025963216,15840.990312059695,0.0,108845.71136343683
2026-02,0.0,79253.02257377747,-1178.6583770566344,0.0,-10732.143737200033,-59654.27257020618,-7737.695635157186,-14750.576206900483,0.0,0.0,0.0,0.0,0.0,16094.476795892653,0.0,-15491.562936499864,0.0,0.0,0.0,0.0,0.0,-10028.611072999942,-13851.953188199945,0.0,-38077.97435455014
2026-03,0.0,20665.645415770126,21370.956081506243,0.0,0.0,-5790.732428800653,43263.3567222236,0.0,0.0,-2846.8549077184725,0.0,0.0,0.0,-4805.19609023289,3078.392115199984,-29164.748937200104,-23131.686252950294,0.0,-25260.442762000013,73424.71612349975,-7916.586183402435,-16803.842574204737,-21430.70932678308,3053.3572889172556,27705.624283824298
2026-04,1040.4362665000024,-11713.49893729688,-56901.12587358415,0.0,0.0,14222.50234478704,-37963.30184732966,52966.94716350131,0.0,1758.418436322765,0.0,-15127.359673995335,-15188.869380527103,-50435.85494909244,152.537838445925,-17071.05843449952,-26716.07032059837,-43067.8547739111,-35009.44687628878,45650.4687877322,0.0,-4735.791031828967,-9219.31368968319,-10430.895654553568,-217789.13060589985
2026-05,-7015.740880034503,2719.950846481882,-6991.272155346753,0.0,0.0,3274.217660123554,-9869.379817971385,-6777.966861033594,0.0,4440.108859967084,-4583.531855582908,0.0,0.0,-17765.234157046067,1804.7356060950824,-11.288019900594009,-14446.182917292797,-30743.284589273553,-20470.99113020776,37339.40263347501,-6693.084924741573,-26749.94979931591,20793.852204799812,-15569.168988197878,-97314.80828500286
2026-06,0.0,14475.074384163152,9863.119660795868,-3585.479109855803,0.0,-1312.524043830328,-6190.844624608795,0.0,0.0,-74.516331412118,0.0,0.0,0.0,-8907.19521522757,-4089.9373410499834,6439.96351709999,2094.905514599929,-10274.051316806148,7453.390707493686,8962.691569048297,-3936.947394519736,20849.775427659777,5661.46222392536,-3150.0407376126223,34278.84688986296
NaT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
