month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2023-10,156.81628177004671,1715.8641037249536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9374.828483124986,11247.508868619985
2023-11,-50.339120094994655,-669.0749612500024,0.0,0.0,2866.1378391800004,1401.6672560249901,-1962.5811785999929,0.0,0.0,-1492.1504135999987,93.6594216600015
2023-12,-1997.2336469499955,621.4320995352489,0.0,0.0,0.0,0.0,0.0,0.0,-1744.0155862999893,4193.742190000009,1073.925056285273
2024-01,2762.6136674282648,-608.0370322925966,0.0,0.0,0.0,0.0,0.0,0.0,-2770.26376308566,9355.596478999996,8739.909351050004
2024-02,-905.7398379141969,466.15897771434163,4447.590724153428,0.0,0.0,6611.6960389062315,2483.747614232575,0.0,-2372.770407499993,3283.0616168576485,14013.744726450037
2024-03,-651.5703225,0.0,-3469.368700569714,-5580.26643719997,0.0,9068.237776550019,-2689.672016550007,0.0,-5566.294711499968,-2005.5494437499976,-10894.483855519638
2024-04,3998.524447892778,2036.8942991072306,0.0,-3747.5596462507383,0.0,-2373.299440599994,-953.7017242492728,0.0,0.0,-1825.0490179000053,-2864.1910820000016
2024-05,-2578.755129130229,601.0647931945933,0.0,0.0,5155.347187044901,0.0,-2296.766537750003,0.0,3577.4345799619828,8217.1458383,12675.470731621246
2024-06,1403.850911782945,-5993.8974466005575,0.0,0.0,0.0,-4029.337789532432,0.0,0.0,0.0,0.0,-8619.384324350045
2024-07,-1411.8965537281479,-1760.1400979218595,10683.9885874,0.0,8926.148234999999,1694.2587839000034,4160.636618649984,0.0,-2575.305156899992,-1904.7783519999973,17812.91206439999
2024-08,1338.8928103406988,-1262.4751881613429,0.0,0.0,-3152.336658734611,-1133.5656084946913,0.0,8218.133916899998,0.0,-4469.8583282499685,-461.20905639991634
