month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r05_island_2023_001587,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2023-01,-928.3474861299972,511.5802759800015,4948.6539761099975,-872.7588885600048,0.0,0.0,0.0,1414.4396439249988,0.0,0.0,0.0,3686.614477309998,8760.181998634995
2023-02,-536.9921232568275,1270.2154683150006,0.0,0.0,0.0,0.0,0.0,-1147.2540646200043,1478.9108507600029,0.0,2680.389660055,0.0,3745.2697912531717
2023-03,452.23525943279606,717.3648250478409,-948.8687721400042,8731.360721086356,0.0,0.0,0.0,-500.1294999501488,0.0,0.0,0.0,592.0570904491101,9044.01962392595
2023-04,-9.682183859420377,170.418040595272,0.0,0.0,0.0,925.8238434141756,0.0,-1556.381961130004,1800.0664650349988,0.0,6378.843108146293,0.0,7709.087312201315
2023-05,-1482.2563346454358,-2588.1913388775697,0.0,0.0,-2312.6089756248703,0.0,5747.669781201451,844.3081869901612,0.0,2956.53416400129,3663.627180750028,0.0,6829.082663795054
2023-06,1839.460094627466,-141.09492596037757,0.0,0.0,0.0,-850.6707043716731,4603.14539941731,0.0,0.0,-1487.7123464999984,-1036.5759256689698,4206.944193075002,7133.495784618758
2023-07,-582.6487238549909,-1490.7616959406962,0.0,0.0,0.0,0.0,0.0,-2305.9008422999896,0.0,0.0,4049.6957526306965,0.0,-329.6155094649798
2023-08,4818.024974002329,1210.6719735385238,0.0,0.0,-2258.7180302700003,-54.36645370000736,-2577.359439181277,7796.412285566259,0.0,2826.415445658979,0.0,-1975.60764611476,9785.473109500046
2023-09,-1347.8646937819524,2406.806948454738,0.0,0.0,6308.2687757707845,0.0,0.0,-6267.3457616935875,0.0,0.0,0.0,0.0,1099.8652687499825
2023-10,243.74618391547955,2667.2201483345107,0.0,0.0,0.0,276.5569433450255,0.0,0.0,0.0,0.0,0.0,7285.476774420004,10473.00005001502
2023-11,-72.7301893699987,-966.67957925,0.0,0.0,0.0,0.0,4140.988115880001,2025.1038540499944,-2835.550149299993,0.0,0.0,-2155.8666689999955,135.26538301000892
2023-12,-2885.5950817999937,897.8482274997866,0.0,0.0,0.0,6065.067885649996,0.0,0.0,0.0,0.0,-2519.74800714999,6059.119996200006,7616.693020399805
2024-01,4281.008825595527,-935.4102773367888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4261.853913858661,14392.972188249996,13476.716822650073
2024-02,-1393.4723762580354,717.0774032516292,0.0,6842.343992894825,0.0,-3506.566971999996,0.0,10171.640017114278,3821.1160586570963,0.0,-3650.331903300004,5050.723738790122,18052.529959149913
